Platform,Account,Post ID,Post URL,Caption,Published At,Media Type,Likes,Comments,Media URL,Thumbnail URL
instagram,jenanmatari,3806489038471897764_184449682,https://www.instagram.com/p/DTTXZzjiSKk/,sharing a moment of joy (I guess I need some of that today given today’s posts!) that couldn’t have happened without every single person here. two gold stickers 🥹 @jiddos.garden won the @mosskidsbooks Picture Book of the Year and the @muslimmatters / @crescentmoonbookstore Muslim Book Award for Booksellers Choice. Alhamdullilah. (ps Jiddo says thank you 🥺🥰),2026-01-09T20:01:15.000Z,carousel,626,40,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/611177899_18542713954001683_8883587884058861597_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=MzgwNjQ4OTAzMzA1MjkwNTQzOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyOTB4MTU4Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=XSjkzXfpqeoQ7kNvwEDtTcO&_nc_oc=Adqj_1Nm3rBPSzZjooP2aiwQeu8SKLk5uMkRCZKoAosTrhiY_-_riYaCNWcH2G0QNUY&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af2G0gdEUTGIR6MBZV3WTwDorP_u5D7b5VrbjyKRH4ZgPA&oe=69DC343E,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/611177899_18542713954001683_8883587884058861597_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=MzgwNjQ4OTAzMzA1MjkwNTQzOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyOTB4MTU4Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=XSjkzXfpqeoQ7kNvwEDtTcO&_nc_oc=Adqj_1Nm3rBPSzZjooP2aiwQeu8SKLk5uMkRCZKoAosTrhiY_-_riYaCNWcH2G0QNUY&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af2G0gdEUTGIR6MBZV3WTwDorP_u5D7b5VrbjyKRH4ZgPA&oe=69DC343E
instagram,jenanmatari,3598421395286793124_184449682,https://www.instagram.com/p/DHwKTGaPBuk/,"3 years and one month in the making. You can pre-order Everything Grows in Jiddo’s Garden 🪴through most major retailers (ship date is 8/12/25) - or, you can support the only Palestinian publishing house in the country through the direct link in my bio, which is where you’ll also find the Limited Edition packages where 100% of profits go towards support Seed Protectors and Farmers in Palestine. (EDIT: I said leather slipcase by accident but it’s actually a paperboard slipcase 🙂)

Bless the seed protectors. Bless the shepherds. Bless the farmers. And bless my Jiddo 🤲🏽 (and of course, bless Palestine)🇵🇸 

Thank you to every hand that touched this project. It is truly a “by us for us” collaboration that I am so proud of. 

Thank you to @ayaillustrates for the incredible illustrations and loving this book as much as I do. 

Thank you to @interlinkbooks for believing in this story and bringing it to life. 

Thank you to @vivien.sansour and @paliheirloomseedlibrary, to @canaan.palestine, and to @deerah.co for being a part of this AND for all your work for our people. 

Thank you to my amazing family and friends for sharing in this joy, in the anxiety, in the excitement (for writing me beautiful notes for the back cover @lanzybear & @dianexguerrero) and in the pride that has been the last 3 years of making this piece of art. To my husband thank you for keeping me in one piece through it all and to my children for being my inspiration. I love you all and I’d be nothing without you. 

And thank you to everyone here for all of your support always. I hope you’ll build a garden this year 🤞🏽 

#EverythingGrowsinJiddosGarden #Falaheen",2025-03-28T18:16:17.000Z,reel,9355,733,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.75761-15/486927480_18488025874001683_8812678887676255706_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=MzU5ODQyMTM5NTI4Njc5MzEyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNjZ4MjI0NC5zZHIuQzMifQ%3D%3D&_nc_ohc=sD6BE9p4e9gQ7kNvwFEv7pO&_nc_oc=Adrc27tckqUPTaf4FiywsFZCQ-OVRt0dNB9_Ek7Us-1NmSq-kq7miv_lbteY7J74ZkE&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af12fboNdXvJBdEEEhU9qtGPEQh7ERkly_RbDYRICUvpPg&oe=69DC5D35,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.75761-15/486927480_18488025874001683_8812678887676255706_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=MzU5ODQyMTM5NTI4Njc5MzEyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNjZ4MjI0NC5zZHIuQzMifQ%3D%3D&_nc_ohc=sD6BE9p4e9gQ7kNvwFEv7pO&_nc_oc=Adrc27tckqUPTaf4FiywsFZCQ-OVRt0dNB9_Ek7Us-1NmSq-kq7miv_lbteY7J74ZkE&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af12fboNdXvJBdEEEhU9qtGPEQh7ERkly_RbDYRICUvpPg&oe=69DC5D35
instagram,jenanmatari,3215188222509092064_184449682,https://www.instagram.com/p/CyepKdQrIzg/,"Today I spoke at @paccusa’s emergency press conference calling for the end of the Palestinian genocide in Gaza. 

I looked directly into the cameras of the press and told them they were responsible for aiding in the genocide of my people in Gaza (they most definitely didn’t like that). 

Outlets like @nytimes, @cbs @nbc @pix11 were all present. 

Take a guess at who aired my segment demanding they report the truth? 

📸: @rahmas3",2023-10-17T00:02:05.000Z,reel,59986,2537,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.71878-15/502845890_699748632756913_6586719524479815205_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=MzIxNTE4ODIyMjUwOTA5MjA2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIxNjB4Mzg0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=KR2TmBDaIogQ7kNvwEjMBGM&_nc_oc=Adrg4EsTxprEeKyKNEtW4Dc3mkVOSjt5mQoAf21Mtng0XCMmWvDLSPXLeNkYeF7m_fw&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af2slQWGPrsycWgxzGOSEsZnW0EGdkyq-ue1ARiQ3kVeUw&oe=69DC3448,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.71878-15/502845890_699748632756913_6586719524479815205_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=MzIxNTE4ODIyMjUwOTA5MjA2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIxNjB4Mzg0MC5zZHIuQzMifQ%3D%3D&_nc_ohc=KR2TmBDaIogQ7kNvwEjMBGM&_nc_oc=Adrg4EsTxprEeKyKNEtW4Dc3mkVOSjt5mQoAf21Mtng0XCMmWvDLSPXLeNkYeF7m_fw&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af2slQWGPrsycWgxzGOSEsZnW0EGdkyq-ue1ARiQ3kVeUw&oe=69DC3448
instagram,jupiterbaal,3870380765414080005_248054285,https://www.instagram.com/p/DW2WszMAr4F/,"#howdidwegethere ? How do we get to a point where the #potus threatens to #nuke #i̇ran ? Step by step. Act of dehumanisation by act of dehumanisation. 
Grab your copy of #orientalism by Edward Said",2026-04-07T23:46:03.000Z,reel,3539,98,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/659342398_18584841100054286_5191597220996013002_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzg3MDM4MDc2NTQxNDA4MDAwNTE4NTg0ODQxMDk0MDU0Mjg2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU2NHgxMDAwLnNkci5DMyJ9&_nc_ohc=dG8uvoZZDxEQ7kNvwFoT8DC&_nc_oc=Ado-GKO3hfAxdUt0fEtNYAyMYTuNpdNGc7znwfT-iMxHK5besUP9_w2Rmp7Fgjvja48&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af0WZ9UviffTaHiTGzPaWw6jyqiHXKkgPyXZ3p7TGP_MXw&oe=69DC4B28,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/659342398_18584841100054286_5191597220996013002_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzg3MDM4MDc2NTQxNDA4MDAwNTE4NTg0ODQxMDk0MDU0Mjg2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU2NHgxMDAwLnNkci5DMyJ9&_nc_ohc=dG8uvoZZDxEQ7kNvwFoT8DC&_nc_oc=Ado-GKO3hfAxdUt0fEtNYAyMYTuNpdNGc7znwfT-iMxHK5besUP9_w2Rmp7Fgjvja48&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af0WZ9UviffTaHiTGzPaWw6jyqiHXKkgPyXZ3p7TGP_MXw&oe=69DC4B28
instagram,lanzybear,3870238328142934969_20461072,https://www.instagram.com/p/DW12UEJD7O5/,And they want us to believe that THIS is The GOOD PLACE?,2026-04-07T19:04:17.000Z,reel,5758,175,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.71878-15/658550202_2011035009490484_6205954856774687161_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=106&ig_cache_key=Mzg3MDIzODMyODE0MjkzNDk2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=qER2N6P63vQQ7kNvwEIPxlN&_nc_oc=Ado-ct6HTaqMHu9OIOfddn2qBtAz1TeHUxhhDWnCpfXVPv0IQwfNHFKS6KtLMBsAn2M&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&se=-1&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af1z_Kqgjc05pKjGQaDqF4IoeiDA4S6b2P7knH5vcQFF4Q&oe=69DC4B9F,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.71878-15/658550202_2011035009490484_6205954856774687161_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=106&ig_cache_key=Mzg3MDIzODMyODE0MjkzNDk2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2Lmhkci5DMyJ9&_nc_ohc=qER2N6P63vQQ7kNvwEIPxlN&_nc_oc=Ado-ct6HTaqMHu9OIOfddn2qBtAz1TeHUxhhDWnCpfXVPv0IQwfNHFKS6KtLMBsAn2M&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&se=-1&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af1z_Kqgjc05pKjGQaDqF4IoeiDA4S6b2P7knH5vcQFF4Q&oe=69DC4B9F
instagram,jupiterbaal,3868175571758497288_248054285,https://www.instagram.com/p/DWuhTAjgj4I/,"Of @dianabuttu and #courage under fire 
#palestinianlivesmatter #apartheid",2026-04-04T22:44:54.000Z,reel,1104,25,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658326111_18583985056054286_5039073723125276513_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzg2ODE3NTU3MTc1ODQ5NzI4ODE4NTgzOTg1MDUzMDU0Mjg2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNTh4MjIzNC5zZHIuQzMifQ%3D%3D&_nc_ohc=3ajCnHtPlhIQ7kNvwHlQ9OB&_nc_oc=AdqsNwgfVzUQDlFLGh3nPFqlhIQj9cZ_vNLeektnFTgLhfLd5G__ijohGRLXioHctCQ&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af2uix3PgWstyaiwm4UmIQbaAxOzsqOTOaQSl2WSXfMVUg&oe=69DC4CF6,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658326111_18583985056054286_5039073723125276513_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=Mzg2ODE3NTU3MTc1ODQ5NzI4ODE4NTgzOTg1MDUzMDU0Mjg2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEyNTh4MjIzNC5zZHIuQzMifQ%3D%3D&_nc_ohc=3ajCnHtPlhIQ7kNvwHlQ9OB&_nc_oc=AdqsNwgfVzUQDlFLGh3nPFqlhIQj9cZ_vNLeektnFTgLhfLd5G__ijohGRLXioHctCQ&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af2uix3PgWstyaiwm4UmIQbaAxOzsqOTOaQSl2WSXfMVUg&oe=69DC4CF6
instagram,omar.hamad7,3867260206585772206_1666841915,https://www.instagram.com/p/DWrRKsTjHiu/,"These are the books I carried with me from my home, and the ones I rescued from the libraries destroyed by the Zionist occupation. They have been displaced with me 13 times; with every displacement, I felt a lifetime slipping away, yet I protected them with all my strength because they are an inseparable part of my personality, my being, and my soul.
Finally, I have given them a special place in my Phoenix Library, which I built during the genocide in Gaza. Thus, it becomes the first library established during the genocide, and one of the very few libraries built during wartime.
Thank you to every person who contributed to the success of this great work. 

Thank you all.

Omar Hamad.",2026-04-03T16:30:51.000Z,reel,1769,69,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/658691454_18571541182025916_6684185385912592191_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzg2NzI2MDIwNjU4NTc3MjIwNjE4NTcxNTQxMTc2MDI1OTE2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIyNjh4NDAzMi5zZHIuQzMifQ%3D%3D&_nc_ohc=617YGciKANwQ7kNvwHWQa3n&_nc_oc=AdotKQp20PY21iU7slo3yjmkOdX4H7_KWmoKNEpOp44f1Zu7vWvb2SuDNfKJhq81iEE&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af3g5slvqN6mGWDOTgEAMBDfVfj2gUvx1BN2x5ZlDL3sHA&oe=69DC48FA,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/658691454_18571541182025916_6684185385912592191_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzg2NzI2MDIwNjU4NTc3MjIwNjE4NTcxNTQxMTc2MDI1OTE2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIyNjh4NDAzMi5zZHIuQzMifQ%3D%3D&_nc_ohc=617YGciKANwQ7kNvwHWQa3n&_nc_oc=AdotKQp20PY21iU7slo3yjmkOdX4H7_KWmoKNEpOp44f1Zu7vWvb2SuDNfKJhq81iEE&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af3g5slvqN6mGWDOTgEAMBDfVfj2gUvx1BN2x5ZlDL3sHA&oe=69DC48FA
instagram,tgmarc,3867157162233790909_186560740,https://www.instagram.com/p/DWq5vMxjYG9/,Detained & interrogated at Palestine/Jordan border. Israeli authorities instantly identified me and do not want me to cover the settler violence in the West Bank. They have deemed me a threat and banned me for 10 years. Will share more soon.,2026-04-03T13:01:43.000Z,reel,30580,1322,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658388721_18581387035000741_9078981534168049241_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzg2NzE1NzE2MjIzMzc5MDkwOTE4NTgxMzg3MDMyMDAwNzQx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&_nc_aid=0&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=LGoBBL6-xV8Q7kNvwENUVRw&_nc_oc=AdoVG2cpf46J6vLhhzu5u7gvyS8mqm4v49eOw_55Zy07O7u5ljyQYNiSqcfTRaHyuc8&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af0nsOvpJQmE05XY_fZVsI23r9aMtWWpTtCs921_S28w3g&oe=69DC4EFF,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658388721_18581387035000741_9078981534168049241_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzg2NzE1NzE2MjIzMzc5MDkwOTE4NTgxMzg3MDMyMDAwNzQx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&_nc_aid=0&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjcyMHgxMjgwLnNkci5DMyJ9&_nc_ohc=LGoBBL6-xV8Q7kNvwENUVRw&_nc_oc=AdoVG2cpf46J6vLhhzu5u7gvyS8mqm4v49eOw_55Zy07O7u5ljyQYNiSqcfTRaHyuc8&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af0nsOvpJQmE05XY_fZVsI23r9aMtWWpTtCs921_S28w3g&oe=69DC4EFF
instagram,freemarwannow,3866432510024861251_74928704174,https://www.instagram.com/p/DWoU-H0DcZD/,"FREE MARWAN BARGHOUTI ✌️

As the Knesset passed a death penalty law that would apply only to Palestinians, artists in Bethlehem painted a 15 by 6 metre mural across Israel’s apartheid separation wall to mark 24 years since Marwan Barghouti’s imprisonment.

This April, we ask people of conscience everywhere to raise their voices, take action, and demand the release of Marwan.

A call to free Marwan Barghouti is a call to free all Palestinian political prisoners, and a call to free Marwan Barghouti is a call to Free Palestine.

@freemarwannow",2026-04-02T12:59:48.000Z,reel,16280,297,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658210424_17885272038496175_4267019967671339435_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_cat=106&ig_cache_key=Mzg2NjQzMjUxMDAyNDg2MTI1MTE3ODg1MjcyMDM1NDk2MTc1.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIzMDd4NDA5Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=SOYD7hjzJJYQ7kNvwG5NaF8&_nc_oc=Adqh82b_OUGT9hYbDKcw4Et0Tm97qVVKDkIZ-gefMTDgfzzsceUien2tdh2ykeAZYeE&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af3_tNHGXYQ9m_kMxvGtxtQ5jLe-su6qQqHA7KBSQHV5Uw&oe=69DC481F,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658210424_17885272038496175_4267019967671339435_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_cat=106&ig_cache_key=Mzg2NjQzMjUxMDAyNDg2MTI1MTE3ODg1MjcyMDM1NDk2MTc1.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjIzMDd4NDA5Ni5zZHIuQzMifQ%3D%3D&_nc_ohc=SOYD7hjzJJYQ7kNvwG5NaF8&_nc_oc=Adqh82b_OUGT9hYbDKcw4Et0Tm97qVVKDkIZ-gefMTDgfzzsceUien2tdh2ykeAZYeE&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af3_tNHGXYQ9m_kMxvGtxtQ5jLe-su6qQqHA7KBSQHV5Uw&oe=69DC481F
instagram,jupiterbaal,3865122824800864748_248054285,https://www.instagram.com/p/DWjrLsZgons/,#calltoaction #palestinianlivesmatter #systemicracism,2026-03-31T17:53:01.000Z,reel,9994,212,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658437123_18582899593054286_2256578826341910203_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg2NTEyMjgyNDgwMDg2NDc0ODE4NTgyODk5NTg3MDU0Mjg2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNTJ4MjA0OC5zZHIuQzMifQ%3D%3D&_nc_ohc=6PqdsBIdcx0Q7kNvwHldtQu&_nc_oc=Adqs6m4VE1qKis1ai_qZUs40KSCcf0cehQXFKoe9tQb-YXoybAsNW6Ia0AwS-xzQcTo&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af0LfQ1RbG6vYXRc4UqKlr-UX8i0WZ8MmEYYWntlKW1Tpg&oe=69DC3415,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/658437123_18582899593054286_2256578826341910203_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg2NTEyMjgyNDgwMDg2NDc0ODE4NTgyODk5NTg3MDU0Mjg2.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjExNTJ4MjA0OC5zZHIuQzMifQ%3D%3D&_nc_ohc=6PqdsBIdcx0Q7kNvwHldtQu&_nc_oc=Adqs6m4VE1qKis1ai_qZUs40KSCcf0cehQXFKoe9tQb-YXoybAsNW6Ia0AwS-xzQcTo&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=SVVH6ixjnONIbIO8bfPS_Q&_nc_ss=7a32e&oh=00_Af0LfQ1RbG6vYXRc4UqKlr-UX8i0WZ8MmEYYWntlKW1Tpg&oe=69DC3415
